anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,PRESIDENTE PERON,Privado,Urbano,Secundaria,2289,1853,142,0,2282,6.2,0.0,81.2
2024,Buenos Aires,PUAN,Estatal,Rural,Primaria,294,297,5,0,302,1.7,0.0,98.34
2024,Buenos Aires,PUAN,Estatal,Rural,Secundaria,273,244,15,0,271,5.49,0.0,90.04
2024,Buenos Aires,PUAN,Estatal,Urbano,Primaria,456,412,10,1,460,2.19,0.22,89.57
2024,Buenos Aires,PUAN,Estatal,Urbano,Secundaria,365,216,32,9,346,8.77,2.47,62.43
2024,Buenos Aires,PUAN,Privado,Urbano,Primaria,443,336,0,0,441,0.0,0.0,76.19
2024,Buenos Aires,PUAN,Privado,Urbano,Secundaria,523,389,28,3,518,5.35,0.57,75.1
2024,Buenos Aires,PUNTA INDIO,Estatal,Rural,Primaria,372,368,1,0,369,0.27,0.0,99.73
2024,Buenos Aires,PUNTA INDIO,Estatal,Rural,Secundaria,500,439,36,1,508,7.2,0.2,86.42
2024,Buenos Aires,PUNTA INDIO,Estatal,Urbano,Primaria,824,823,1,6,824,0.12,0.73,99.88
2024,Buenos Aires,PUNTA INDIO,Estatal,Urbano,Secundaria,579,264,104,0,575,17.96,0.0,45.91
2024,Buenos Aires,QUILMES,Estatal,Urbano,Primaria,38457,35951,1534,32,38391,3.99,0.08,93.64
2024,Buenos Aires,QUILMES,Estatal,Urbano,Secundaria,40728,23355,7172,86,40348,17.61,0.21,57.88
2024,Buenos Aires,QUILMES,Privado,Urbano,Primaria,21763,21431,87,2,21639,0.4,0.01,99.04
2024,Buenos Aires,QUILMES,Privado,Urbano,Secundaria,19820,14023,1017,8,19735,5.13,0.04,71.06
2024,Buenos Aires,RAMALLO,Estatal,Rural,Primaria,413,425,0,0,425,0.0,0.0,100.0
2024,Buenos Aires,RAMALLO,Estatal,Rural,Secundaria,344,240,62,0,341,18.02,0.0,70.38
2024,Buenos Aires,RAMALLO,Estatal,Urbano,Primaria,3223,3236,3,1,3240,0.09,0.03,99.88
2024,Buenos Aires,RAMALLO,Estatal,Urbano,Secundaria,3403,2101,553,0,3372,16.25,0.0,62.31
2024,Buenos Aires,RAUCH,Estatal,Rural,Primaria,176,170,1,0,171,0.57,0.0,99.42
2024,Buenos Aires,RAUCH,Estatal,Rural,Secundaria,241,157,27,0,243,11.2,0.0,64.61
2024,Buenos Aires,RAUCH,Estatal,Urbano,Primaria,991,960,8,0,1000,0.81,0.0,96.0
2024,Buenos Aires,RAUCH,Estatal,Urbano,Secundaria,406,233,128,1,413,31.53,0.25,56.42
2024,Buenos Aires,RIVADAVIA,Estatal,Rural,Primaria,498,460,10,0,493,2.01,0.0,93.31
2024,Buenos Aires,RIVADAVIA,Estatal,Rural,Secundaria,445,277,54,7,426,12.13,1.57,65.02
2024,Buenos Aires,RIVADAVIA,Estatal,Urbano,Primaria,871,829,22,0,875,2.53,0.0,94.74
